Comuna;Casos_Acumulados;Fecha
Aisen;1;1
Algarrobo;NA;NA
Alto Hospicio;1;1
Ancud;NA;NA
Andacollo;NA;NA
Angol;9;1
Antofagasta;20;1
Arauco;4;1
Arica;3;1
Buin;2;1
Bulnes;5;1
Cabildo;NA;NA
Cabo de Hornos;4;1
Cabrero;2;1
Calama;2;1
Calbuco;3;1
Caldera;NA;NA
Calera;1;1
Calera de Tango;2;1
Calle Larga;NA;NA
Carahue;1;1
Cartagena;NA;NA
Casablanca;1;1
Castro;1;1
Catemu;NA;NA
Cauquenes;NA;NA
Cerrillos;2;1
Cerro Navia;9;1
Chaiten;NA;NA
Chanco;NA;NA
Chiguayante;7;1
Chile Chico;NA;NA
Chillan;65;1
Chillan Viejo;14;1
Chimbarongo;1;1
Cholchol;NA;NA
Cochamo;NA;NA
Codegua;NA;NA
Coelemu;NA;NA
Coihaique;1;1
Coihueco;NA;NA
Coinco;NA;NA
Colbun;1;1
Colina;32;1
Collipulli;NA;NA
Concepcion;28;1
Conchali;14;1
Concon;NA;NA
Constitucion;NA;NA
Copiapo;1;1
Coquimbo;10;1
Coronel;6;1
Corral;NA;NA
Cunco;NA;NA
Curacautin;NA;NA
Curacavi;5;1
Curanilahue;NA;NA
Curarrehue;1;1
Curepto;NA;NA
Curico;3;1
Diego de Almagro;NA;NA
DoNihue;NA;NA
El Bosque;18;1
El Carmen;NA;NA
El Monte;2;1
El Quisco;NA;NA
El Tabo;NA;NA
Ercilla;NA;NA
Estacion Central;15;1
Florida;1;1
Freire;NA;NA
Freirina;NA;NA
Frutillar;1;1
Futrono;NA;NA
Galvarino;NA;NA
Gorbea;3;1
Graneros;NA;NA
Hijuelas;NA;NA
Hualaihue;NA;NA
Hualpen;6;1
Hualqui;3;1
Huara;NA;NA
Huasco;NA;NA
Huechuraba;17;1
Illapel;NA;NA
Independencia;15;1
Iquique;4;1
Isla de Maipo;NA;NA
Isla de Pascua;2;1
La Cisterna;10;1
La Cruz;NA;NA
La Florida;43;1
La Granja;5;1
La Ligua;1;1
La Pintana;1;1
La Reina;24;1
La Serena;NA;NA
