;03-03-2020;04-03-2020;05-03-2020;06-03-2020;07-03-2020;08-03-2020;09-03-2020;10-03-2020;11-03-2020;12-03-2020;13-03-2020;14-03-2020;15-03-2020;16-03-2020;17-03-2020;18-03-2020;19-03-2020;20-03-2020;21-03-2020;22-03-2020;23-03-2020;24-03-2020;25-03-2020;26-03-2020;27-03-2020;28-03-2020;29-03-2020;30-03-2020;31-03-2020;01-04-2020;02-04-2020;03-04-2020;04-04-2020;05-04-2020;06-04-2020;07-04-2020;08-04-2020;09-04-2020;10-04-2020;11-04-2020;12-04-2020;13-04-2020;14-04-2020;15-04-2020;16-04-2020;17-04-2020;18-04-2020;19-04-2020;20-04-2020;21-04-2020;22-04-2020;23-04-2020;24-04-2020;25-04-2020;26-04-2020;27-04-2020;28-04-2020;29-04-2020;30-04-2020;01-05-2020
Antofagasta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;7;7;9;15;16;17;18;22;29;29;29;32;38;40;40;45;47;47;49;59;72;77;89;97;98;110;121;134;144;157;170;190;216;228;246;260;282;288;303;325;345;363
Calama;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;5;5;6;6;7;8;9;12;12;14;19;19;19;20;20;20;23;24;24;27;31;32;33;40;49;53;58;62;67;67
Maria Elena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;4;4;6;6;6;6;7;7;10;12;13;16;18;19;29
Mejillones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;3;6;8;9;11;14;15;16;23;23;28;33;33;39;40;59;61;62;67;72;86
