Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;Muertes;Casos_Activos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Nuble;Coihueco;16302;1;43893;1630243893;0;0;0;0;0;0;0;0;OFF;37
O_Higgins;Coinco;6103;1;43893;610343893;0;0;0;0;0;0;0;0;OFF;17
Maule;Colbun;7402;1;43893;740243893;0;0;0;0;0;0;0;0;OFF;53
Tarapaca;Colchane;1403;1;43893;140343893;0;0;0;0;0;0;0;0;OFF;0
Metropolitana;Colina;13301;1;43893;1330143893;0;0;0;0;0;0;0;0;OFF;52
La_Araucania;Collipulli;9202;1;43893;920243893;0;0;0;0;0;0;0;0;OFF;20
O_Higgins;Coltauco;6104;1;43893;610443893;0;0;0;0;0;0;0;0;OFF;2
Coquimbo;Combarbala;4302;1;43893;430243893;0;0;0;0;0;0;0;0;OFF;0
Biobio;Concepcion;8101;1;43893;810143893;0;0;0;0;0;0;0;0;OFF;58
Metropolitana;Conchali;13104;1;43893;1310443893;0;0;0;0;0;0;0;0;OFF;52
Valparaiso;Concon;5103;1;43893;510343893;0;0;0;0;0;0;0;0;OFF;40
Maule;Constitucion;7102;1;43893;710243893;0;0;0;0;0;0;0;0;OFF;38
Biobio;Contulmo;8204;1;43893;820443893;0;0;0;0;0;0;0;0;OFF;0
Atacama;Copiapo;3101;1;43893;310143893;0;0;0;0;0;0;0;0;OFF;57
Coquimbo;Coquimbo;4102;1;43893;410243893;0;0;0;0;0;0;0;0;OFF;52
Biobio;Coronel;8102;1;43893;810243893;0;0;0;0;0;0;0;0;OFF;51
Los_Rios;Corral;14102;1;43893;1410243893;0;0;0;0;0;0;0;0;OFF;25
Aysen;Coihaique;11101;1;43893;1110143893;0;0;0;0;0;0;0;0;OFF;46
La_Araucania;Cunco;9103;1;43893;910343893;0;0;0;0;0;0;0;0;OFF;36
La_Araucania;Curacautin;9203;1;43893;920343893;0;0;0;0;0;0;0;0;OFF;39
Metropolitana;Curacavi;13503;1;43893;1350343893;0;0;0;0;0;0;0;0;OFF;52
Los_Lagos;Curaco_de_Velez;10204;1;43893;1020443893;0;0;0;0;0;0;0;0;OFF;0
Biobio;Curanilahue;8205;1;43893;820543893;0;0;0;0;0;0;0;0;OFF;43
La_Araucania;Curarrehue;9104;1;43893;910443893;0;0;0;0;0;0;0;0;OFF;49
Maule;Curepto;7103;1;43893;710343893;0;0;0;0;0;0;0;0;OFF;32
Maule;Curico;7301;1;43893;730143893;0;0;0;0;0;0;0;0;OFF;60
Los_Lagos;Dalcahue;10205;1;43893;1020543893;0;0;0;0;0;0;0;0;OFF;0
Atacama;Diego_de_Almagro;3202;1;43893;320243893;0;0;0;0;0;0;0;0;OFF;42
O_Higgins;DoNihue;6105;1;43893;610543893;0;0;0;0;0;0;0;0;OFF;17
Metropolitana;El_Bosque;13105;1;43893;1310543893;0;0;0;0;0;0;0;0;OFF;52
Nuble;El_Carmen;16104;1;43893;1610443893;0;0;0;0;0;0;0;0;OFF;39
Metropolitana;El_Monte;13602;1;43893;1360243893;0;0;0;0;0;0;0;0;OFF;46
Valparaiso;El_Quisco;5604;1;43893;560443893;0;0;0;0;0;0;0;0;OFF;38
Valparaiso;El_Tabo;5605;1;43893;560543893;0;0;0;0;0;0;0;0;OFF;41
Maule;Empedrado;7104;1;43893;710443893;0;0;0;0;0;0;0;0;OFF;0
La_Araucania;Ercilla;9204;1;43893;920443893;0;0;0;0;0;0;0;0;OFF;36
Metropolitana;Estacion_Central;13106;1;43893;1310643893;0;0;0;0;0;0;0;0;OFF;58
Biobio;Florida;8104;1;43893;810443893;0;0;0;0;0;0;0;0;OFF;45
La_Araucania;Freire;9105;1;43893;910543893;0;0;0;0;0;0;0;0;OFF;39
Atacama;Freirina;3303;1;43893;330343893;0;0;0;0;0;0;0;0;OFF;13
Los_Lagos;Fresia;10104;1;43893;1010443893;0;0;0;0;0;0;0;0;OFF;0
Los_Lagos;Frutillar;10105;1;43893;1010543893;0;0;0;0;0;0;0;0;OFF;50
Los_Lagos;Futaleufu;10402;1;43893;1040243893;0;0;0;0;0;0;0;0;OFF;0
Los_Rios;Futrono;14202;1;43893;1420243893;0;0;0;0;0;0;0;0;OFF;44
La_Araucania;Galvarino;9106;1;43893;910643893;0;0;0;0;0;0;0;0;OFF;29
Arica_y_Parinacota;General_Lagos;15202;1;43893;1520243893;0;0;0;0;0;0;0;0;OFF;0
La_Araucania;Gorbea;9107;1;43893;910743893;0;0;0;0;0;0;0;0;OFF;50
O_Higgins;Graneros;6106;1;43893;610643893;0;0;0;0;0;0;0;0;OFF;17
Aysen;Guaitecas;11203;1;43893;1120343893;0;0;0;0;0;0;0;0;OFF;0
Valparaiso;Hijuelas;5503;1;43893;550343893;0;0;0;0;0;0;0;0;OFF;22
Los_Lagos;Hualaihue;10403;1;43893;1040343893;0;0;0;0;0;0;0;0;OFF;41
Maule;HualaNe;7302;1;43893;730243893;0;0;0;0;0;0;0;0;OFF;0
Biobio;Hualpen;8112;1;43893;811243893;0;0;0;0;0;0;0;0;OFF;48
Biobio;Hualqui;8105;1;43893;810543893;0;0;0;0;0;0;0;0;OFF;47
Tarapaca;Huara;1404;1;43893;140443893;0;0;0;0;0;0;0;0;OFF;8
Atacama;Huasco;3304;1;43893;330443893;0;0;0;0;0;0;0;0;OFF;8
Metropolitana;Huechuraba;13107;1;43893;1310743893;0;0;0;0;0;0;0;0;OFF;51
Coquimbo;Illapel;4201;1;43893;420143893;0;0;0;0;0;0;0;0;OFF;36
Metropolitana;Independencia;13108;1;43893;1310843893;0;0;0;0;0;0;0;0;OFF;51
Tarapaca;Iquique;1101;1;43893;110143893;0;0;0;0;0;0;0;0;OFF;48
Metropolitana;Isla_de_Maipo;13603;1;43893;1360343893;0;0;0;0;0;0;0;0;OFF;36
Valparaiso;Isla_de_Pascua;5201;1;43893;520143893;0;0;0;0;0;0;0;0;OFF;47
Valparaiso;Juan_Fernandez;5104;1;43893;510443893;0;0;0;0;0;0;0;0;OFF;0
Metropolitana;La_Cisterna;13109;1;43893;1310943893;0;0;0;0;0;0;0;0;OFF;51
Valparaiso;La_Cruz;5504;1;43893;550443893;0;0;0;0;0;0;0;0;OFF;40
O_Higgins;La_Estrella;6202;1;43893;620243893;0;0;0;0;0;0;0;0;OFF;0
Metropolitana;La_Florida;13110;1;43893;1311043893;0;0;0;0;0;0;0;0;OFF;56
Metropolitana;La_Granja;13111;1;43893;1311143893;0;0;0;0;0;0;0;0;OFF;50
Coquimbo;La_Higuera;4104;1;43893;410443893;0;0;0;0;0;0;0;0;OFF;0
Valparaiso;La_Ligua;5401;1;43893;540143893;0;0;0;0;0;0;0;0;OFF;45
Metropolitana;La_Pintana;13112;1;43893;1311243893;0;0;0;0;0;0;0;0;OFF;45
Metropolitana;La_Reina;13113;1;43893;1311343893;0;0;0;0;0;0;0;0;OFF;50
Coquimbo;La_Serena;4101;1;43893;410143893;0;0;0;0;0;0;0;0;OFF;41
Los_Rios;La_Union;14201;1;43893;1420143893;0;0;0;0;0;0;0;0;OFF;48
Los_Rios;Lago_Ranco;14203;1;43893;1420343893;0;0;0;0;0;0;0;0;OFF;44
Aysen;Lago_Verde;11102;1;43893;1110243893;0;0;0;0;0;0;0;0;OFF;0
Magallanes;Laguna_Blanca;12102;1;43893;1210243893;0;0;0;0;0;0;0;0;OFF;0
Biobio;Laja;8304;1;43893;830443893;0;0;0;0;0;0;0;0;OFF;42
Metropolitana;Lampa;13302;1;43893;1330243893;0;0;0;0;0;0;0;0;OFF;49
Los_Rios;Lanco;14103;1;43893;1410343893;0;0;0;0;0;0;0;0;OFF;40
O_Higgins;Las_Cabras;6107;1;43893;610743893;0;0;0;0;0;0;0;0;OFF;25
Metropolitana;Las_Condes;13114;1;43893;1311443893;0;0;0;0;0;0;0;0;OFF;63
La_Araucania;Lautaro;9108;1;43893;910843893;0;0;0;0;0;0;0;0;OFF;42
Biobio;Lebu;8201;1;43893;820143893;0;0;0;0;0;0;0;0;OFF;0
Maule;Licanten;7303;1;43893;730343893;0;0;0;0;0;0;0;0;OFF;24
Valparaiso;Limache;5802;1;43893;580243893;0;0;0;0;0;0;0;0;OFF;46
Maule;Linares;7401;1;43893;740143893;0;0;0;0;0;0;0;0;OFF;49
O_Higgins;Litueche;6203;1;43893;620343893;0;0;0;0;0;0;0;0;OFF;16
Valparaiso;Llaillay;5703;1;43893;570343893;0;0;0;0;0;0;0;0;OFF;38
Los_Lagos;Llanquihue;10107;1;43893;1010743893;0;0;0;0;0;0;0;0;OFF;20
Metropolitana;Lo_Barnechea;13115;1;43893;1311543893;0;0;0;0;0;0;0;0;OFF;44
Metropolitana;Lo_Espejo;13116;1;43893;1311643893;0;0;0;0;0;0;0;0;OFF;49
Metropolitana;Lo_Prado;13117;1;43893;1311743893;0;0;0;0;0;0;0;0;OFF;49
O_Higgins;Lolol;6304;1;43893;630443893;0;0;0;0;0;0;0;0;OFF;0
La_Araucania;Loncoche;9109;1;43893;910943893;0;0;0;0;0;0;0;0;OFF;39
Maule;Longavi;7403;1;43893;740343893;0;0;0;0;0;0;0;0;OFF;48
La_Araucania;Lonquimay;9205;1;43893;920543893;0;0;0;0;0;0;0;0;OFF;3
Biobio;Los_Alamos;8206;1;43893;820643893;0;0;0;0;0;0;0;0;OFF;18
Valparaiso;Los_Andes;5301;1;43893;530143893;0;0;0;0;0;0;0;0;OFF;47
Biobio;Los_Angeles;8301;1;43893;830143893;0;0;0;0;0;0;0;0;OFF;62
Los_Rios;Los_Lagos;14104;1;43893;1410443893;0;0;0;0;0;0;0;0;OFF;0
Los_Lagos;Los_Muermos;10106;1;43893;1010643893;0;0;0;0;0;0;0;0;OFF;45
La_Araucania;Los_Sauces;9206;1;43893;920643893;0;0;0;0;0;0;0;0;OFF;0
Coquimbo;Los_Vilos;4203;1;43893;420343893;0;0;0;0;0;0;0;0;OFF;45
Biobio;Lota;8106;1;43893;810643893;0;0;0;0;0;0;0;0;OFF;50
La_Araucania;Lumaco;9207;1;43893;920743893;0;0;0;0;0;0;0;0;OFF;13
O_Higgins;Machali;6108;1;43893;610843893;0;0;0;0;0;0;0;0;OFF;53
Metropolitana;Macul;13118;1;43893;1311843893;0;0;0;0;0;0;0;0;OFF;49
Los_Rios;Mafil;14105;1;43893;1410543893;0;0;0;0;0;0;0;0;OFF;49
Metropolitana;Maipu;13119;1;43893;1311943893;0;0;0;0;0;0;0;0;OFF;53
O_Higgins;Malloa;6109;1;43893;610943893;0;0;0;0;0;0;0;0;OFF;0
O_Higgins;Marchihue;6204;1;43893;620443893;0;0;0;0;0;0;0;0;OFF;0
Antofagasta;Maria_Elena;2302;1;43893;230243893;0;0;0;0;0;0;0;0;OFF;27
Metropolitana;Maria_Pinto;13504;1;43893;1350443893;0;0;0;0;0;0;0;0;OFF;45
Los_Rios;Mariquina;14106;1;43893;1410643893;0;0;0;0;0;0;0;0;OFF;42
Maule;Maule;7105;1;43893;710543893;0;0;0;0;0;0;0;0;OFF;44
Los_Lagos;Maullin;10108;1;43893;1010843893;0;0;0;0;0;0;0;0;OFF;30
Antofagasta;Mejillones;2102;1;43893;210243893;0;0;0;0;0;0;0;0;OFF;38
La_Araucania;Melipeuco;9110;1;43893;911043893;0;0;0;0;0;0;0;0;OFF;0
Metropolitana;Melipilla;13501;1;43893;1350143893;0;0;0;0;0;0;0;0;OFF;47
Maule;Molina;7304;1;43893;730443893;0;0;0;0;0;0;0;0;OFF;41
Coquimbo;Monte_Patria;4303;1;43893;430343893;0;0;0;0;0;0;0;0;OFF;0
O_Higgins;Mostazal;6110;1;43893;611043893;0;0;0;0;0;0;0;0;OFF;7
Biobio;Mulchen;8305;1;43893;830543893;0;0;0;0;0;0;0;0;OFF;45
Biobio;Nacimiento;8306;1;43893;830643893;0;0;0;0;0;0;0;0;OFF;53
O_Higgins;Nancagua;6305;1;43893;630543893;0;0;0;0;0;0;0;0;OFF;10
Magallanes;Natales;12401;1;43893;1240143893;0;0;0;0;0;0;0;0;OFF;43
O_Higgins;Navidad;6205;1;43893;620543893;0;0;0;0;0;0;0;0;OFF;12
Biobio;Negrete;8307;1;43893;830743893;0;0;0;0;0;0;0;0;OFF;33
Nuble;Ninhue;16204;1;43893;1620443893;0;0;0;0;0;0;0;0;OFF;30
