X1,YR,Acumulados
Antofagasta,YR43893,0
Calama,YR43893,0
Maria Elena,YR43893,0
Mejillones,YR43893,0
NA,YR43893,NA
Antofagasta,YR44259,0
Calama,YR44259,0
Maria Elena,YR44259,0
Mejillones,YR44259,0
NA,YR44259,NA
Antofagasta,YR44258,0
Calama,YR44258,0
Maria Elena,YR44258,0
Mejillones,YR44258,0
NA,YR44258,NA
Antofagasta,YR43896,0
Calama,YR43896,0
Maria Elena,YR43896,0
Mejillones,YR43896,0
NA,YR43896,NA
Antofagasta,YR43897,0
Calama,YR43897,0
Maria Elena,YR43897,0
Mejillones,YR43897,0
NA,YR43897,NA
Antofagasta,YR43898,0
Calama,YR43898,0
Maria Elena,YR43898,0
Mejillones,YR43898,0
NA,YR43898,NA
Antofagasta,YR43899,0
Calama,YR43899,0
Maria Elena,YR43899,0
Mejillones,YR43899,0
NA,YR43899,NA
Antofagasta,YR43900,0
Calama,YR43900,0
Maria Elena,YR43900,0
Mejillones,YR43900,0
NA,YR43900,NA
Antofagasta,YR43901,0
Calama,YR43901,0
Maria Elena,YR43901,0
Mejillones,YR43901,0
NA,YR43901,NA
Antofagasta,YR43902,0
Calama,YR43902,0
Maria Elena,YR43902,0
Mejillones,YR43902,0
NA,YR43902,NA
Antofagasta,YR43903,0
Calama,YR43903,0
Maria Elena,YR43903,0
Mejillones,YR43903,0
NA,YR43903,NA
Antofagasta,YR43904,0
Calama,YR43904,2
Maria Elena,YR43904,0
Mejillones,YR43904,0
NA,YR43904,NA
Antofagasta,YR43905,0
Calama,YR43905,2
Maria Elena,YR43905,0
Mejillones,YR43905,0
NA,YR43905,NA
Antofagasta,YR43906,0
Calama,YR43906,2
Maria Elena,YR43906,0
Mejillones,YR43906,0
NA,YR43906,NA
Antofagasta,YR43907,0
Calama,YR43907,2
Maria Elena,YR43907,0
Mejillones,YR43907,0
NA,YR43907,NA
Antofagasta,YR43908,0
Calama,YR43908,2
Maria Elena,YR43908,0
Mejillones,YR43908,0
NA,YR43908,NA
Antofagasta,YR43909,2
Calama,YR43909,2
Maria Elena,YR43909,0
Mejillones,YR43909,0
NA,YR43909,NA
Antofagasta,YR43910,6
Calama,YR43910,2
Maria Elena,YR43910,0
Mejillones,YR43910,0
NA,YR43910,NA
Antofagasta,YR43911,7
Calama,YR43911,2
Maria Elena,YR43911,0
Mejillones,YR43911,0
NA,YR43911,NA
Antofagasta,YR43912,7
Calama,YR43912,2
Maria Elena,YR43912,0
Mejillones,YR43912,0
NA,YR43912,NA
Antofagasta,YR43913,9
Calama,YR43913,2
Maria Elena,YR43913,0
Mejillones,YR43913,0
NA,YR43913,NA
Antofagasta,YR43914,15
Calama,YR43914,2
Maria Elena,YR43914,0
Mejillones,YR43914,0
NA,YR43914,NA
