X1,YR,Acumulados
Antofagasta,YR43915,16
Calama,YR43915,2
Maria Elena,YR43915,0
Mejillones,YR43915,0
NA,YR43915,NA
Antofagasta,YR43916,17
Calama,YR43916,2
Maria Elena,YR43916,0
Mejillones,YR43916,0
NA,YR43916,NA
Antofagasta,YR43917,18
Calama,YR43917,3
Maria Elena,YR43917,0
Mejillones,YR43917,0
NA,YR43917,NA
Antofagasta,YR43918,22
Calama,YR43918,3
Maria Elena,YR43918,0
Mejillones,YR43918,0
NA,YR43918,NA
Antofagasta,YR43919,29
Calama,YR43919,3
Maria Elena,YR43919,0
Mejillones,YR43919,0
NA,YR43919,NA
Antofagasta,YR43920,29
Calama,YR43920,3
Maria Elena,YR43920,0
Mejillones,YR43920,0
NA,YR43920,NA
Antofagasta,YR43921,29
Calama,YR43921,3
Maria Elena,YR43921,0
Mejillones,YR43921,0
NA,YR43921,NA
Antofagasta,YR43922,32
Calama,YR43922,3
Maria Elena,YR43922,0
Mejillones,YR43922,0
NA,YR43922,NA
Antofagasta,YR43923,38
Calama,YR43923,5
Maria Elena,YR43923,0
Mejillones,YR43923,0
NA,YR43923,NA
Antofagasta,YR43924,40
Calama,YR43924,5
Maria Elena,YR43924,0
Mejillones,YR43924,0
NA,YR43924,NA
Antofagasta,YR43925,40
Calama,YR43925,6
Maria Elena,YR43925,0
Mejillones,YR43925,0
NA,YR43925,NA
Antofagasta,YR43926,45
Calama,YR43926,6
Maria Elena,YR43926,0
Mejillones,YR43926,0
NA,YR43926,NA
Antofagasta,YR43927,47
Calama,YR43927,7
Maria Elena,YR43927,0
Mejillones,YR43927,1
NA,YR43927,NA
Antofagasta,YR43928,47
Calama,YR43928,8
Maria Elena,YR43928,0
Mejillones,YR43928,1
NA,YR43928,NA
Antofagasta,YR43929,49
Calama,YR43929,9
Maria Elena,YR43929,0
Mejillones,YR43929,1
NA,YR43929,NA
Antofagasta,YR43930,59
Calama,YR43930,12
Maria Elena,YR43930,0
Mejillones,YR43930,3
NA,YR43930,NA
Antofagasta,YR43931,72
Calama,YR43931,12
Maria Elena,YR43931,0
Mejillones,YR43931,3
NA,YR43931,NA
Antofagasta,YR43932,77
Calama,YR43932,14
Maria Elena,YR43932,0
Mejillones,YR43932,3
NA,YR43932,NA
Antofagasta,YR43933,89
Calama,YR43933,19
Maria Elena,YR43933,0
Mejillones,YR43933,6
NA,YR43933,NA
Antofagasta,YR43934,97
Calama,YR43934,19
Maria Elena,YR43934,1
Mejillones,YR43934,8
NA,YR43934,NA
Antofagasta,YR43935,98
Calama,YR43935,19
Maria Elena,YR43935,1
Mejillones,YR43935,9
NA,YR43935,NA
Antofagasta,YR43936,110
Calama,YR43936,20
Maria Elena,YR43936,2
Mejillones,YR43936,11
NA,YR43936,NA
Antofagasta,YR43937,121
Calama,YR43937,20
Maria Elena,YR43937,3
Mejillones,YR43937,14
NA,YR43937,NA
Antofagasta,YR43938,134
Calama,YR43938,20
Maria Elena,YR43938,4
Mejillones,YR43938,15
NA,YR43938,NA
Antofagasta,YR43939,144
Calama,YR43939,23
Maria Elena,YR43939,4
Mejillones,YR43939,16
NA,YR43939,NA
Antofagasta,YR43940,157
Calama,YR43940,24
Maria Elena,YR43940,6
Mejillones,YR43940,23
NA,YR43940,NA
Antofagasta,YR43941,170
Calama,YR43941,24
Maria Elena,YR43941,6
Mejillones,YR43941,23
NA,YR43941,NA
Antofagasta,YR43942,190
Calama,YR43942,27
Maria Elena,YR43942,6
Mejillones,YR43942,28
NA,YR43942,NA
Antofagasta,YR43943,216
Calama,YR43943,31
Maria Elena,YR43943,6
Mejillones,YR43943,33
NA,YR43943,NA
Antofagasta,YR43944,228
Calama,YR43944,32
Maria Elena,YR43944,7
Mejillones,YR43944,33
NA,YR43944,NA
Antofagasta,YR43945,246
Calama,YR43945,33
Maria Elena,YR43945,7
Mejillones,YR43945,39
NA,YR43945,NA
Antofagasta,YR43946,260
Calama,YR43946,40
Maria Elena,YR43946,10
Mejillones,YR43946,40
NA,YR43946,NA
Antofagasta,YR43947,282
Calama,YR43947,49
Maria Elena,YR43947,12
Mejillones,YR43947,59
NA,YR43947,NA
Antofagasta,YR43948,288
Calama,YR43948,53
Maria Elena,YR43948,13
Mejillones,YR43948,61
NA,YR43948,NA
Antofagasta,YR43949,303
Calama,YR43949,58
Maria Elena,YR43949,16
Mejillones,YR43949,62
NA,YR43949,NA
Antofagasta,YR43950,325
Calama,YR43950,62
Maria Elena,YR43950,18
Mejillones,YR43950,67
NA,YR43950,NA
Antofagasta,YR43951,345
Calama,YR43951,67
Maria Elena,YR43951,19
Mejillones,YR43951,72
NA,YR43951,NA
Antofagasta,YR43952,363
Calama,YR43952,67
Maria Elena,YR43952,29
Mejillones,YR43952,86
NA,YR43952,NA
