;YR43893;YR44259;YR44258;YR43896;YR43897;YR43898;YR43899;YR43900;YR43901;YR43902;YR43903;YR43904;YR43905;YR43906;YR43907;YR43908;YR43909;YR43910;YR43911;YR43912;YR43913;YR43914;YR43915;YR43916;YR43917;YR43918;YR43919;YR43920;YR43921;YR43922;YR43923;YR43924;YR43925;YR43926;YR43927;YR43928;YR43929;YR43930;YR43931;YR43932;YR43933;YR43934;YR43935;YR43936;YR43937;YR43938;YR43939;YR43940;YR43941;YR43942;YR43943;YR43944;YR43945;YR43946;YR43947;YR43948;YR43949;YR43950;YR43951;YR43952
Antofagasta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;7;7;9;15;16;17;18;22;29;29;29;32;38;40;40;45;47;47;49;59;72;77;89;97;98;110;121;134;144;157;170;190;216;228;246;260;282;288;303;325;345;363
Calama;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;5;5;6;6;7;8;9;12;12;14;19;19;19;20;20;20;23;24;24;27;31;32;33;40;49;53;58;62;67;67
Maria Elena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;4;4;6;6;6;6;7;7;10;12;13;16;18;19;29
Mejillones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;3;6;8;9;11;14;15;16;23;23;28;33;33;39;40;59;61;62;67;72;86
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;YRYR43893;YRYR44259;YRYR44258;YRYR43896;YRYR43897;YRYR43898;YRYR43899;YRYR43900;YRYR43901;YRYR43902;YRYR43903;YRYR43904;YRYR43905;YRYR43906;YRYR43907;YRYR43908;YRYR43909;YRYR43910;YRYR43911;YRYR43912;YRYR43913;YRYR43914;YRYR43915;YRYR43916;YRYR43917;YRYR43918;YRYR43919;YRYR43920;YRYR43921;YRYR43922;YRYR43923;YRYR43924;YRYR43925;YRYR43926;YRYR43927;YRYR43928;YRYR43929;YRYR43930;YRYR43931;YRYR43932;YRYR43933;YRYR43934;YRYR43935;YRYR43936;YRYR43937;YRYR43938;YRYR43939;YRYR43940;YRYR43941;YRYR43942;YRYR43943;YRYR43944;YRYR43945;YRYR43946;YRYR43947;YRYR43948;YRYR43949;YRYR43950;YRYR43951;YRYR43952
