x1,yr43893,yr43896,yr43897,yr43898,yr43899,yr43900,yr43901,yr43902,yr43903,yr43904,yr43905,yr43906,yr43907,yr43908,yr43909,yr43910,yr43911,yr43912,yr43913,yr43914,yr43915,yr43916,yr43917,yr43918,yr43919,yr43920,yr43921,yr43922,yr43923,yr43924,yr43925,yr43926,yr43927,yr43928,yr43929,yr43930,yr43931,yr43932,yr43933,yr43934,yr43935,yr43936,yr43937,yr43938,yr43939,yr43940,yr43941,yr43942,yr43943,yr43944,yr43945,yr43946,yr43947,yr43948,yr43949,yr43950,yr43951,yr43952,fecha,value
Antofagasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,7,9,15,16,17,18,22,29,29,29,32,38,40,40,45,47,47,49,59,72,77,89,97,98,110,121,134,144,157,170,190,216,228,246,260,282,288,303,325,345,363,NA,0
Calama,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,5,5,6,6,7,8,9,12,12,14,19,19,19,20,20,20,23,24,24,27,31,32,33,40,49,53,58,62,67,67,NA,0
Maria Elena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,6,6,6,6,7,7,10,12,13,16,18,19,29,NA,0
Mejillones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,6,8,9,11,14,15,16,23,23,28,33,33,39,40,59,61,62,67,72,86,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antofagasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,7,9,15,16,17,18,22,29,29,29,32,38,40,40,45,47,47,49,59,72,77,89,97,98,110,121,134,144,157,170,190,216,228,246,260,282,288,303,325,345,363,NA,0
Calama,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,5,5,6,6,7,8,9,12,12,14,19,19,19,20,20,20,23,24,24,27,31,32,33,40,49,53,58,62,67,67,NA,0
Maria Elena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,6,6,6,6,7,7,10,12,13,16,18,19,29,NA,0
Mejillones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,6,8,9,11,14,15,16,23,23,28,33,33,39,40,59,61,62,67,72,86,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
