Region;Comuna;Codigo comuna;Fecha;Clave;Casos Diarios;Casos Acumulados;Muertes;Casos Activos;Recuperados;Recuperados Diarios;Día;Fallecidos Diarios
Valparaiso;Algarrobo;5602;43893;560243893;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43894;560243894;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43895;560243895;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43896;560243896;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43897;560243897;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43898;560243898;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43899;560243899;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43900;560243900;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43901;560243901;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43902;560243902;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43903;560243903;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43904;560243904;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43905;560243905;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43906;560243906;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43907;560243907;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43908;560243908;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43909;560243909;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43910;560243910;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43911;560243911;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43912;560243912;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43913;560243913;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43914;560243914;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43915;560243915;0;0;0;0;0;0;0;0
Valparaiso;Algarrobo;5602;43916;560243916;2;2;0;2;0;0;1;0
Valparaiso;Algarrobo;5602;43917;560243917;0;2;0;2;0;0;2;0
Valparaiso;Algarrobo;5602;43918;560243918;5;7;0;7;0;0;3;0
Valparaiso;Algarrobo;5602;43919;560243919;0;7;0;7;0;0;4;0
Valparaiso;Algarrobo;5602;43920;560243920;2;9;0;9;0;0;5;0
Valparaiso;Algarrobo;5602;43921;560243921;0;9;0;9;0;0;6;0
Valparaiso;Algarrobo;5602;43922;560243922;1;10;0;10;0;0;7;0
Valparaiso;Algarrobo;5602;43923;560243923;0;10;0;10;0;0;8;0
Valparaiso;Algarrobo;5602;43924;560243924;0;10;0;10;0;0;9;0
Valparaiso;Algarrobo;5602;43925;560243925;0;10;0;10;0;0;10;0
Valparaiso;Algarrobo;5602;43926;560243926;0;10;0;10;0;0;11;0
Valparaiso;Algarrobo;5602;43927;560243927;0;10;0;10;0;0;12;0
Valparaiso;Algarrobo;5602;43928;560243928;0;10;0;10;0;0;13;0
Valparaiso;Algarrobo;5602;43929;560243929;0;10;1;9;0;0;14;1
