Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;acumulados_corregidos;Muertes;Casos_Activos;activos_corregidos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Maule;Talca;7101;6;43898;710143898;1;3;1,267298626;0;3;1,267298626;0;0;6;0;ON;68
Metropolitana;Vitacura;13132;6;43898;1313243898;1;4;4,1333416;0;4;4,1333416;0;0;5;0;ON;67
Metropolitana;Las_Condes;13114;7;43899;1311443899;1;2;0,604669865;0;2;0,604669865;0;0;2;0;ON;63
Biobio;Los_Angeles;8301;7;43899;830143899;1;1;0,457634487;0;1;0,457634487;0;0;1;0;START;62
Metropolitana;Providencia;13123;7;43899;1312343899;0;1;0,63391844;0;1;0,63391844;0;0;5;0;ON;66
Los_Lagos;Puerto_Montt;10101;7;43899;1010143899;0;1;0,371198004;0;1;0,371198004;0;0;3;0;ON;64
Maule;Talca;7101;7;43899;710143899;1;4;1,689731502;0;4;1,689731502;0;0;7;0;ON;68
Metropolitana;Vitacura;13132;7;43899;1313243899;0;4;4,1333416;0;4;4,1333416;0;0;6;0;ON;67
Metropolitana;Las_Condes;13114;8;43900;1311443900;1;3;0,907004798;0;3;0,907004798;0;0;3;0;ON;63
Biobio;Los_Angeles;8301;8;43900;830143900;0;1;0,457634487;0;1;0,457634487;0;0;2;0;ON;62
Metropolitana;Providencia;13123;8;43900;1312343900;1;2;1,26783688;0;2;1,26783688;0;0;6;0;ON;66
Los_Lagos;Puerto_Montt;10101;8;43900;1010143900;0;1;0,371198004;0;1;0,371198004;0;0;4;0;ON;64
Maule;Talca;7101;8;43900;710143900;1;5;2,112164377;0;5;2,112164377;0;0;8;0;ON;68
Metropolitana;Vitacura;13132;8;43900;1313243900;1;5;5,166677;0;5;5,166677;0;0;7;0;ON;67
Maule;Curico;7301;9;43901;730143901;1;1;0,611149817;0;1;0,611149817;0;0;1;0;START;60
Metropolitana;Las_Condes;13114;9;43901;1311443901;1;4;1,209339731;0;4;1,209339731;0;0;4;0;ON;63
Biobio;Los_Angeles;8301;9;43901;830143901;0;1;0,457634487;0;1;0,457634487;0;0;3;0;ON;62
Metropolitana;NuNoa;13120;9;43901;1312043901;1;1;0,399693036;0;1;0,399693036;0;0;1;0;START;60
Metropolitana;Providencia;13123;9;43901;1312343901;1;3;1,90175532;0;3;1,90175532;0;0;7;0;ON;66
Los_Lagos;Puerto_Montt;10101;9;43901;1010143901;0;1;0,371198004;0;1;0,371198004;0;0;5;0;ON;64
Maule;Talca;7101;9;43901;710143901;1;6;2,534597252;0;6;2,534597252;0;0;9;0;ON;68
Metropolitana;Vitacura;13132;9;43901;1313243901;1;6;6,2000124;0;6;6,2000124;0;0;8;0;ON;67
Nuble;Chillan;16101;10;43902;1610143902;1;1;0,503463831;0;1;0,503463831;0;0;1;0;START;59
Maule;Curico;7301;10;43902;730143902;0;1;0,611149817;0;1;0,611149817;0;0;2;0;ON;60
Metropolitana;Las_Condes;13114;10;43902;1311443902;3;7;2,116344529;0;7;2,116344529;0;0;5;0;ON;63
Biobio;Los_Angeles;8301;10;43902;830143902;0;1;0,457634487;0;1;0,457634487;0;0;4;0;ON;62
Metropolitana;NuNoa;13120;10;43902;1312043902;0;1;0,399693036;0;1;0,399693036;0;0;2;0;ON;60
Metropolitana;Providencia;13123;10;43902;1312343902;0;3;1,90175532;0;3;1,90175532;0;0;8;0;ON;66
Los_Lagos;Puerto_Montt;10101;10;43902;1010143902;0;1;0,371198004;0;1;0,371198004;0;0;6;0;ON;64
Maule;Talca;7101;10;43902;710143902;0;6;2,534597252;0;6;2,534597252;0;0;10;0;ON;68
Metropolitana;Vitacura;13132;10;43902;1313243902;6;12;12,4000248;0;12;12,4000248;0;0;9;0;ON;67
Nuble;Chillan;16101;11;43903;1610143903;1;2;1,006927662;0;2;1,006927662;0;0;2;0;ON;59
Biobio;Concepcion;8101;11;43903;810143903;2;2;0,840011424;0;2;0,840011424;0;0;1;0;START;58
Maule;Curico;7301;11;43903;730143903;0;1;0,611149817;0;1;0,611149817;0;0;3;0;ON;60
Metropolitana;Estacion_Central;13106;11;43903;1310643903;1;1;0,483577701;0;1;0,483577701;0;0;1;0;START;58
Metropolitana;Las_Condes;13114;11;43903;1311443903;2;9;2,721014394;0;9;2,721014394;0;0;6;0;ON;63
Biobio;Los_Angeles;8301;11;43903;830143903;0;1;0,457634487;0;1;0,457634487;0;0;5;0;ON;62
Metropolitana;NuNoa;13120;11;43903;1312043903;0;1;0,399693036;0;1;0,399693036;0;0;3;0;ON;60
Metropolitana;Providencia;13123;11;43903;1312343903;1;4;2,53567376;0;4;2,53567376;0;0;9;0;ON;66
Los_Lagos;Puerto_Montt;10101;11;43903;1010143903;0;1;0,371198004;0;1;0,371198004;0;0;7;0;ON;64
Maule;Talca;7101;11;43903;710143903;1;7;2,957030128;0;7;2,957030128;0;0;11;0;ON;68
Metropolitana;Vitacura;13132;11;43903;1313243903;2;14;14,4666956;0;14;14,4666956;0;0;10;0;ON;67
Aysen;Aisen;11201;12;43904;1120143904;1;1;3,999680026;0;1;3,999680026;0;0;1;0;START;57
Antofagasta;Calama;2201;12;43904;220143904;2;2;1,050773369;0;2;1,050773369;0;0;1;0;START;57
Nuble;Chillan;16101;12;43904;1610143904;2;4;2,013855325;0;4;2,013855325;0;0;3;0;ON;59
Biobio;Concepcion;8101;12;43904;810143904;0;2;0,840011424;0;2;0,840011424;0;0;2;0;ON;58
Atacama;Copiapo;3101;12;43904;310143904;1;1;0,582187394;0;1;0,582187394;0;0;1;0;START;57
Maule;Curico;7301;12;43904;730143904;0;1;0,611149817;0;1;0,611149817;0;0;4;0;ON;60
Metropolitana;Estacion_Central;13106;12;43904;1310643904;0;1;0,483577701;0;1;0,483577701;0;0;2;0;ON;58
Metropolitana;Las_Condes;13114;12;43904;1311443904;8;17;5,139693856;0;17;5,139693856;0;0;7;0;ON;63
Biobio;Los_Angeles;8301;12;43904;830143904;0;1;0,457634487;0;1;0,457634487;0;0;6;0;ON;62
Metropolitana;NuNoa;13120;12;43904;1312043904;0;1;0,399693036;0;1;0,399693036;0;0;4;0;ON;60
Metropolitana;Providencia;13123;12;43904;1312343904;2;6;3,80351064;0;6;3,80351064;0;0;10;0;ON;66
Los_Lagos;Puerto_Montt;10101;12;43904;1010143904;0;1;0,371198004;0;1;0,371198004;0;0;8;0;ON;64
Metropolitana;Santiago;13101;12;43904;1310143904;1;1;0,198749073;0;1;0,198749073;0;0;1;0;START;57
Maule;Talca;7101;12;43904;710143904;1;8;3,379463003;0;8;3,379463003;0;0;12;0;ON;68
Metropolitana;Vitacura;13132;12;43904;1313243904;0;14;14,4666956;0;14;14,4666956;0;0;11;0;ON;67
Aysen;Aisen;11201;13;43905;1120143905;0;1;3,999680026;0;1;3,999680026;0;0;2;0;ON;57
Antofagasta;Calama;2201;13;43905;220143905;0;2;1,050773369;0;2;1,050773369;0;0;2;0;ON;57
Nuble;Chillan;16101;13;43905;1610143905;0;4;2,013855325;0;4;2,013855325;0;0;4;0;ON;59
Biobio;Concepcion;8101;13;43905;810143905;0;2;0,840011424;0;2;0,840011424;0;0;3;0;ON;58
Atacama;Copiapo;3101;13;43905;310143905;0;1;0,582187394;0;1;0,582187394;0;0;2;0;ON;57
Maule;Curico;7301;13;43905;730143905;0;1;0,611149817;0;1;0,611149817;0;0;5;0;ON;60
Metropolitana;Estacion_Central;13106;13;43905;1310643905;1;2;0,967155403;0;2;0,967155403;0;0;3;0;ON;58
Metropolitana;La_Florida;13110;13;43905;1311043905;1;1;0,248488568;0;1;0,248488568;0;0;1;0;START;56
Metropolitana;Las_Condes;13114;13;43905;1311443905;9;26;7,86070825;0;26;7,86070825;0;0;8;0;ON;63
Biobio;Los_Angeles;8301;13;43905;830143905;0;1;0,457634487;0;1;0,457634487;0;0;7;0;ON;62
Metropolitana;NuNoa;13120;13;43905;1312043905;0;1;0,399693036;0;1;0,399693036;0;0;5;0;ON;60
Metropolitana;Providencia;13123;13;43905;1312343905;1;7;4,43742908;0;7;4,43742908;0;0;11;0;ON;66
Los_Lagos;Puerto_Montt;10101;13;43905;1010143905;0;1;0,371198004;0;1;0,371198004;0;0;9;0;ON;64
Metropolitana;Santiago;13101;13;43905;1310143905;0;1;0,198749073;0;1;0,198749073;0;0;2;0;ON;57
Maule;Talca;7101;13;43905;710143905;0;8;3,379463003;0;8;3,379463003;0;0;13;0;ON;68
Metropolitana;Vitacura;13132;13;43905;1313243905;2;16;16,5333664;0;16;16,5333664;0;0;12;0;ON;67
Aysen;Aisen;11201;14;43906;1120143906;0;1;3,999680026;0;1;3,999680026;0;0;3;0;ON;57
Antofagasta;Calama;2201;14;43906;220143906;0;2;1,050773369;0;2;1,050773369;0;0;3;0;ON;57
Nuble;Chillan;16101;14;43906;1610143906;6;10;5,034638312;0;10;5,034638312;0;0;5;0;ON;59
Nuble;Chillan_Viejo;16103;14;43906;1610343906;1;1;2,956218405;0;1;2,956218405;0;0;1;0;START;55
Biobio;Concepcion;8101;14;43906;810143906;0;2;0,840011424;0;2;0,840011424;0;0;4;0;ON;58
Atacama;Copiapo;3101;14;43906;310143906;0;1;0,582187394;0;1;0,582187394;0;0;3;0;ON;57
Maule;Curico;7301;14;43906;730143906;0;1;0,611149817;0;1;0,611149817;0;0;6;0;ON;60
Metropolitana;Estacion_Central;13106;14;43906;1310643906;2;4;1,934310805;0;4;1,934310805;0;0;4;0;ON;58
Metropolitana;La_Florida;13110;14;43906;1311043906;0;1;0,248488568;0;1;0,248488568;0;0;2;0;ON;56
Metropolitana;Las_Condes;13114;14;43906;1311443906;9;35;10,58172264;0;35;10,58172264;0;0;9;0;ON;63
Biobio;Los_Angeles;8301;14;43906;830143906;0;1;0,457634487;0;1;0,457634487;0;0;8;0;ON;62
Metropolitana;NuNoa;13120;14;43906;1312043906;0;1;0,399693036;0;1;0,399693036;0;0;6;0;ON;60
Metropolitana;Providencia;13123;14;43906;1312343906;24;31;19,65147164;0;31;19,65147164;0;0;12;0;ON;66
Los_Lagos;Puerto_Montt;10101;14;43906;1010143906;0;1;0,371198004;0;1;0,371198004;0;0;10;0;ON;64
Metropolitana;Recoleta;13127;14;43906;1312743906;3;3;1,578324346;0;3;1,578324346;0;0;1;0;START;55
Metropolitana;Santiago;13101;14;43906;1310143906;5;6;1,19249444;0;6;1,19249444;0;0;3;0;ON;57
Maule;Talca;7101;14;43906;710143906;0;8;3,379463003;0;6;2,534597252;2;2;14;0;ON;68
Biobio;Talcahuano;8110;14;43906;811043906;2;2;1,263064827;0;2;1,263064827;0;0;1;0;START;55
La_Araucania;Temuco;9101;14;43906;910143906;1;1;0,330108176;0;1;0,330108176;0;0;1;0;START;55
Los_Rios;Valdivia;14101;14;43906;1410143906;1;1;0,56569405;0;1;0,56569405;0;0;1;0;START;55
Valparaiso;ViNa_del_Mar;5109;14;43906;510943906;1;1;0,276723921;0;1;0,276723921;0;0;1;0;START;55
Metropolitana;Vitacura;13132;14;43906;1313243906;26;42;43,4000868;0;42;43,4000868;0;0;13;0;ON;67
Arica_y_Parinacota;Arica;15101;15;43907;1510143907;1;1;0,403955533;0;1;0,403955533;0;0;1;0;START;54
Aysen;Aisen;11201;15;43907;1120143907;0;1;3,999680026;0;1;3,999680026;0;0;4;0;ON;57
Antofagasta;Calama;2201;15;43907;220143907;0;2;1,050773369;0;2;1,050773369;0;0;4;0;ON;57
Nuble;Chillan;16101;15;43907;1610143907;13;23;11,57966812;0;23;11,57966812;0;0;6;0;ON;59
Nuble;Chillan_Viejo;16103;15;43907;1610343907;1;2;5,912436811;0;2;5,912436811;0;0;2;0;ON;55
Biobio;Concepcion;8101;15;43907;810143907;0;2;0,840011424;0;2;0,840011424;0;0;5;0;ON;58
Atacama;Copiapo;3101;15;43907;310143907;0;1;0,582187394;0;1;0,582187394;0;0;4;0;ON;57
Maule;Curico;7301;15;43907;730143907;0;1;0,611149817;0;1;0,611149817;0;0;7;0;ON;60
Metropolitana;Estacion_Central;13106;15;43907;1310643907;2;6;2,901466208;0;6;2,901466208;0;0;5;0;ON;58
Metropolitana;La_Florida;13110;15;43907;1311043907;2;3;0,745465705;0;3;0,745465705;0;0;3;0;ON;56
Metropolitana;Las_Condes;13114;15;43907;1311443907;7;42;12,69806717;0;42;12,69806717;0;0;10;0;ON;63
Biobio;Los_Angeles;8301;15;43907;830143907;0;1;0,457634487;0;1;0,457634487;0;0;9;0;ON;62
Metropolitana;NuNoa;13120;15;43907;1312043907;0;1;0,399693036;0;1;0,399693036;0;0;7;0;ON;60
Metropolitana;Providencia;13123;15;43907;1312343907;2;33;20,91930852;0;33;20,91930852;0;0;13;0;ON;66
Los_Lagos;Puerto_Montt;10101;15;43907;1010143907;0;1;0,371198004;0;1;0,371198004;0;0;11;0;ON;64
Magallanes;Punta_Arenas;12101;15;43907;1210143907;1;1;0,70430471;0;1;0,70430471;0;0;1;0;START;54
Metropolitana;Recoleta;13127;15;43907;1312743907;1;4;2,104432461;0;4;2,104432461;0;0;2;0;ON;55
Metropolitana;San_Miguel;13130;15;43907;1313043907;1;1;0,751546307;0;1;0,751546307;0;0;1;0;START;54
Metropolitana;Santiago;13101;15;43907;1310143907;2;8;1,589992587;0;8;1,589992587;0;0;4;0;ON;57
Maule;Talca;7101;15;43907;710143907;0;8;3,379463003;0;6;2,534597252;2;0;15;0;ON;68
Biobio;Talcahuano;8110;15;43907;811043907;0;2;1,263064827;0;2;1,263064827;0;0;2;0;ON;55
La_Araucania;Temuco;9101;15;43907;910143907;0;1;0,330108176;0;1;0,330108176;0;0;2;0;ON;55
Los_Rios;Valdivia;14101;15;43907;1410143907;0;1;0,56569405;0;1;0,56569405;0;0;2;0;ON;55
Valparaiso;ViNa_del_Mar;5109;15;43907;510943907;0;1;0,276723921;0;1;0,276723921;0;0;2;0;ON;55
Metropolitana;Vitacura;13132;15;43907;1313243907;12;54;55,8001116;0;53;54,7667762;1;1;14;0;ON;67
La_Araucania;Angol;9201;16;43908;920143908;1;1;1,783866709;0;1;1,783866709;0;0;1;0;START;53
Arica_y_Parinacota;Arica;15101;16;43908;1510143908;0;1;0,403955533;0;1;0,403955533;0;0;2;0;ON;54
Aysen;Aisen;11201;16;43908;1120143908;0;1;3,999680026;0;1;3,999680026;0;0;5;0;ON;57
Antofagasta;Calama;2201;16;43908;220143908;0;2;1,050773369;0;2;1,050773369;0;0;5;0;ON;57
Nuble;Chillan;16101;16;43908;1610143908;0;23;11,57966812;0;23;11,57966812;0;0;7;0;ON;59
Nuble;Chillan_Viejo;16103;16;43908;1610343908;0;2;5,912436811;0;2;5,912436811;0;0;3;0;ON;55
Maule;Colbun;7402;16;43908;740243908;1;1;4,431641923;0;1;4,431641923;0;0;1;0;START;53
Biobio;Concepcion;8101;16;43908;810143908;1;3;1,260017136;0;3;1,260017136;0;0;6;0;ON;58
Atacama;Copiapo;3101;16;43908;310143908;0;1;0,582187394;0;1;0,582187394;0;0;5;0;ON;57
Maule;Curico;7301;16;43908;730143908;0;1;0,611149817;0;1;0,611149817;0;0;8;0;ON;60
Metropolitana;Estacion_Central;13106;16;43908;1310643908;0;6;2,901466208;0;6;2,901466208;0;0;6;0;ON;58
Metropolitana;La_Florida;13110;16;43908;1311043908;0;3;0,745465705;0;3;0,745465705;0;0;4;0;ON;56
Metropolitana;Las_Condes;13114;16;43908;1311443908;0;42;12,69806717;0;42;12,69806717;0;0;11;0;ON;63
Biobio;Los_Angeles;8301;16;43908;830143908;0;1;0,457634487;0;1;0,457634487;0;0;10;0;ON;62
O_Higgins;Machali;6108;16;43908;610843908;1;1;1,669086843;0;1;1,669086843;0;0;1;0;START;53
Metropolitana;Maipu;13119;16;43908;1311943908;1;1;0,172829478;0;1;0,172829478;0;0;1;0;START;53
Biobio;Nacimiento;8306;16;43908;830643908;1;1;3,578585743;0;1;3,578585743;0;0;1;0;START;53
Metropolitana;NuNoa;13120;16;43908;1312043908;0;1;0,399693036;0;1;0,399693036;0;0;8;0;ON;60
Los_Lagos;Osorno;10301;16;43908;1030143908;1;1;0,576668012;0;1;0,576668012;0;0;1;0;START;53
Metropolitana;Providencia;13123;16;43908;1312343908;0;33;20,91930852;0;32;20,28539008;1;1;14;0;ON;66
Los_Lagos;Puerto_Montt;10101;16;43908;1010143908;3;4;1,484792018;0;4;1,484792018;0;0;12;0;ON;64
Los_Lagos;Puerto_Varas;10109;16;43908;1010943908;1;1;2,056766763;0;1;2,056766763;0;0;1;0;START;53
Magallanes;Punta_Arenas;12101;16;43908;1210143908;1;2;1,408609421;0;2;1,408609421;0;0;2;0;ON;54
Valparaiso;Quillota;5501;16;43908;550143908;3;3;3,074652564;0;3;3,074652564;0;0;1;0;START;53
Metropolitana;Recoleta;13127;16;43908;1312743908;0;4;2,104432461;0;4;2,104432461;0;0;3;0;ON;55
O_Higgins;Requinoa;6116;16;43908;611643908;1;1;3,292614665;0;1;3,292614665;0;0;1;0;START;53
Metropolitana;San_Bernardo;13401;16;43908;1340143908;1;1;0,298653669;0;1;0,298653669;0;0;1;0;START;53
Metropolitana;San_Miguel;13130;16;43908;1313043908;0;1;0,751546307;0;1;0,751546307;0;0;2;0;ON;54
Biobio;San_Pedro_de_la_Paz;8108;16;43908;810843908;1;1;0,685372774;0;1;0,685372774;0;0;1;0;START;53
Metropolitana;Santiago;13101;16;43908;1310143908;5;13;2,583737953;0;13;2,583737953;0;0;5;0;ON;57
Maule;Talca;7101;16;43908;710143908;1;9;3,801895879;0;7;2,957030128;2;0;16;0;ON;68
Biobio;Talcahuano;8110;16;43908;811043908;10;12;7,578388961;0;12;7,578388961;0;0;3;0;ON;55
La_Araucania;Temuco;9101;16;43908;910143908;1;2;0,660216353;0;2;0,660216353;0;0;3;0;ON;55
Los_Rios;Valdivia;14101;16;43908;1410143908;0;1;0,56569405;0;1;0,56569405;0;0;3;0;ON;55
Valparaiso;ViNa_del_Mar;5109;16;43908;510943908;0;1;0,276723921;0;1;0,276723921;0;0;3;0;ON;55
Metropolitana;Vitacura;13132;16;43908;1313243908;0;54;55,8001116;0;53;54,7667762;1;0;15;0;ON;67
La_Araucania;Angol;9201;17;43909;920143909;1;2;3,567733419;0;2;3,567733419;0;0;2;0;ON;53
Antofagasta;Antofagasta;2101;17;43909;210143909;3;3;0,704680251;0;3;0,704680251;0;0;1;0;START;52
Arica_y_Parinacota;Arica;15101;17;43909;1510143909;0;1;0,403955533;0;1;0,403955533;0;0;3;0;ON;54
Aysen;Aisen;11201;17;43909;1120143909;0;1;3,999680026;0;1;3,999680026;0;0;6;0;ON;57
Antofagasta;Calama;2201;17;43909;220143909;0;2;1,050773369;0;2;1,050773369;0;0;6;0;ON;57
Metropolitana;Cerro_Navia;13103;17;43909;1310343909;8;8;5,615414312;0;8;5,615414312;0;0;1;0;START;52
Nuble;Chillan;16101;17;43909;1610143909;0;23;11,57966812;0;23;11,57966812;0;0;8;0;ON;59
Nuble;Chillan_Viejo;16103;17;43909;1610343909;1;3;8,868655216;0;3;8,868655216;0;0;4;0;ON;55
Maule;Colbun;7402;17;43909;740243909;0;1;4,431641923;0;1;4,431641923;0;0;2;0;ON;53
Metropolitana;Colina;13301;17;43909;1330143909;32;32;17,74298182;0;32;17,74298182;0;0;1;0;START;52
Biobio;Concepcion;8101;17;43909;810143909;2;5;2,10002856;0;5;2,10002856;0;0;7;0;ON;58
Metropolitana;Conchali;13104;17;43909;1310443909;13;13;9,339415927;0;13;9,339415927;0;0;1;0;START;52
Atacama;Copiapo;3101;17;43909;310143909;0;1;0,582187394;0;1;0,582187394;0;0;6;0;ON;57
Coquimbo;Coquimbo;4102;17;43909;410243909;2;2;0,77901338;0;2;0,77901338;0;0;1;0;START;52
Metropolitana;Curacavi;13503;17;43909;1350343909;5;5;13,72495196;0;5;13,72495196;0;0;1;0;START;52
Maule;Curico;7301;17;43909;730143909;1;2;1,222299635;0;2;1,222299635;0;0;9;0;ON;60
Metropolitana;El_Bosque;13105;17;43909;1310543909;11;11;6,395348837;0;11;6,395348837;0;0;1;0;START;52
Metropolitana;Estacion_Central;13106;17;43909;1310643909;0;6;2,901466208;0;6;2,901466208;0;0;7;0;ON;58
Metropolitana;La_Florida;13110;17;43909;1311043909;0;3;0,745465705;0;3;0,745465705;0;0;5;0;ON;56
Metropolitana;Las_Condes;13114;17;43909;1311443909;0;42;12,69806717;0;42;12,69806717;0;0;12;0;ON;63
Biobio;Los_Angeles;8301;17;43909;830143909;0;1;0,457634487;0;1;0,457634487;0;0;11;0;ON;62
O_Higgins;Machali;6108;17;43909;610843909;0;1;1,669086843;0;1;1,669086843;0;0;2;0;ON;53
Metropolitana;Maipu;13119;17;43909;1311943909;2;3;0,518488433;0;3;0,518488433;0;0;2;0;ON;53
Biobio;Nacimiento;8306;17;43909;830643909;0;1;3,578585743;0;1;3,578585743;0;0;2;0;ON;53
Metropolitana;NuNoa;13120;17;43909;1312043909;0;1;0,399693036;0;1;0,399693036;0;0;9;0;ON;60
Los_Lagos;Osorno;10301;17;43909;1030143909;3;4;2,306672049;0;4;2,306672049;0;0;2;0;ON;53
Metropolitana;Providencia;13123;17;43909;1312343909;0;33;20,91930852;0;32;20,28539008;1;0;15;0;ON;66
Los_Lagos;Puerto_Montt;10101;17;43909;1010143909;5;9;3,34078204;0;9;3,34078204;0;0;13;0;ON;64
Los_Lagos;Puerto_Varas;10109;17;43909;1010943909;0;1;2,056766763;0;1;2,056766763;0;0;2;0;ON;53
Magallanes;Punta_Arenas;12101;17;43909;1210143909;0;2;1,408609421;0;2;1,408609421;0;0;3;0;ON;54
Valparaiso;Quillota;5501;17;43909;550143909;0;3;3,074652564;0;3;3,074652564;0;0;2;0;ON;53
Metropolitana;Recoleta;13127;17;43909;1312743909;0;4;2,104432461;0;4;2,104432461;0;0;4;0;ON;55
Metropolitana;Renca;13128;17;43909;1312843909;1;1;0,621708829;0;1;0,621708829;0;0;1;0;START;52
O_Higgins;Requinoa;6116;17;43909;611643909;0;1;3,292614665;0;1;3,292614665;0;0;2;0;ON;53
Maule;Rio_Claro;7108;17;43909;710843909;1;1;6,778282383;0;1;6,778282383;0;0;1;0;START;52
Metropolitana;San_Bernardo;13401;17;43909;1340143909;0;1;0,298653669;0;1;0,298653669;0;0;2;0;ON;53
O_Higgins;San_Fernando;6301;17;43909;630143909;1;1;1,271585158;0;1;1,271585158;0;0;1;0;START;52
Metropolitana;San_Miguel;13130;17;43909;1313043909;0;1;0,751546307;0;1;0,751546307;0;0;3;0;ON;54
Biobio;San_Pedro_de_la_Paz;8108;17;43909;810843909;0;1;0,685372774;0;1;0,685372774;0;0;2;0;ON;53
Metropolitana;Santiago;13101;17;43909;1310143909;0;13;2,583737953;0;13;2,583737953;0;0;6;0;ON;57
Maule;Talca;7101;17;43909;710143909;1;10;4,224328754;0;8;3,379463003;2;0;17;0;ON;68
Biobio;Talcahuano;8110;17;43909;811043909;2;14;8,841453788;0;14;8,841453788;0;0;4;0;ON;55
La_Araucania;Temuco;9101;17;43909;910143909;2;4;1,320432706;0;4;1,320432706;0;0;4;0;ON;55
Antofagasta;Tocopilla;2301;17;43909;230143909;2;2;7,122760782;0;2;7,122760782;0;0;1;0;START;52
Biobio;Tome;8111;17;43909;811143909;3;3;5,108208892;0;3;5,108208892;0;0;1;0;START;52
Los_Rios;Valdivia;14101;17;43909;1410143909;1;2;1,1313881;0;2;1,1313881;0;0;4;0;ON;55
Valparaiso;ViNa_del_Mar;5109;17;43909;510943909;0;1;0,276723921;0;1;0,276723921;0;0;4;0;ON;55
Metropolitana;Vitacura;13132;17;43909;1313243909;0;54;55,8001116;0;52;53,7334408;2;1;16;0;ON;67
La_Araucania;Angol;9201;18;43910;920143910;2;4;7,135466838;0;4;7,135466838;0;0;3;0;ON;53
Antofagasta;Antofagasta;2101;18;43910;210143910;4;7;1,64425392;0;7;1,64425392;0;0;2;0;ON;52
Arica_y_Parinacota;Arica;15101;18;43910;1510143910;0;1;0,403955533;0;1;0,403955533;0;0;4;0;ON;54
Aysen;Aisen;11201;18;43910;1120143910;0;1;3,999680026;0;1;3,999680026;0;0;7;0;ON;57
Nuble;Bulnes;16102;18;43910;1610243910;5;5;22,11704339;0;5;22,11704339;0;0;1;0;START;51
Magallanes;Cabo_de_Hornos;12201;18;43910;1220143910;1;1;50,42864347;0;1;50,42864347;0;0;1;0;START;51
Antofagasta;Calama;2201;18;43910;220143910;0;2;1,050773369;0;2;1,050773369;0;0;7;0;ON;57
Metropolitana;Cerro_Navia;13103;18;43910;1310343910;0;8;5,615414312;0;8;5,615414312;0;0;2;0;ON;52
Nuble;Chillan;16101;18;43910;1610143910;0;23;11,57966812;0;23;11,57966812;0;0;9;0;ON;59
Nuble;Chillan_Viejo;16103;18;43910;1610343910;4;7;20,69352884;0;7;20,69352884;0;0;5;0;ON;55
Maule;Colbun;7402;18;43910;740243910;0;1;4,431641923;0;1;4,431641923;0;0;3;0;ON;53
Metropolitana;Colina;13301;18;43910;1330143910;0;32;17,74298182;0;32;17,74298182;0;0;2;0;ON;52
Biobio;Concepcion;8101;18;43910;810143910;4;9;3,780051409;0;9;3,780051409;0;0;8;0;ON;58
Metropolitana;Conchali;13104;18;43910;1310443910;0;13;9,339415927;0;13;9,339415927;0;0;2;0;ON;52
Atacama;Copiapo;3101;18;43910;310143910;0;1;0,582187394;0;1;0,582187394;0;0;7;0;ON;57
Coquimbo;Coquimbo;4102;18;43910;410243910;0;2;0,77901338;0;2;0,77901338;0;0;2;0;ON;52
Biobio;Coronel;8102;18;43910;810243910;1;1;0,794729355;0;1;0,794729355;0;0;1;0;START;51
