Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;acumulados_corregidos;Muertes;Casos_Activos;activos_corregidos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Maule;Talca;7101;1;43893;710143893;2;2;0,844865751;0;2;0,844865751;0;0;1;0;START;68
Maule;Talca;7101;2;43894;710143894;0;2;0,844865751;0;2;0,844865751;0;0;2;0;ON;68
Metropolitana;Vitacura;13132;2;43894;1313243894;1;1;1,0333354;0;1;1,0333354;0;0;1;0;START;67
Metropolitana;Providencia;13123;3;43895;1312343895;1;1;0,63391844;0;1;0,63391844;0;0;1;0;START;66
Maule;Talca;7101;3;43895;710143895;0;2;0,844865751;0;2;0,844865751;0;0;3;0;ON;68
Metropolitana;Vitacura;13132;3;43895;1313243895;0;1;1,0333354;0;1;1,0333354;0;0;2;0;ON;67
Metropolitana;Providencia;13123;4;43896;1312343896;0;1;0,63391844;0;1;0,63391844;0;0;2;0;ON;66
Maule;Talca;7101;4;43896;710143896;0;2;0,844865751;0;2;0,844865751;0;0;4;0;ON;68
Metropolitana;Vitacura;13132;4;43896;1313243896;1;2;2,0666708;0;2;2,0666708;0;0;3;0;ON;67
Metropolitana;Providencia;13123;5;43897;1312343897;0;1;0,63391844;0;1;0,63391844;0;0;3;0;ON;66
Los_Lagos;Puerto_Montt;10101;5;43897;1010143897;1;1;0,371198004;0;1;0,371198004;0;0;1;0;START;64
Maule;Talca;7101;5;43897;710143897;0;2;0,844865751;0;2;0,844865751;0;0;5;0;ON;68
Metropolitana;Vitacura;13132;5;43897;1313243897;1;3;3,1000062;0;3;3,1000062;0;0;4;0;ON;67
Metropolitana;Las_Condes;13114;6;43898;1311443898;1;1;0,302334933;0;1;0,302334933;0;0;1;0;START;63
Metropolitana;Providencia;13123;6;43898;1312343898;0;1;0,63391844;0;1;0,63391844;0;0;4;0;ON;66
Los_Lagos;Puerto_Montt;10101;6;43898;1010143898;0;1;0,371198004;0;1;0,371198004;0;0;2;0;ON;64
