Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;Muertes;Casos_Activos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Valparaiso;Algarrobo;5602;1;03-03-2020;560243893;0;0;0;0;0;0;0;0;OFF;43
Metropolitana;Alhue;13502;1;03-03-2020;1350243893;0;0;0;0;0;0;0;0;OFF;0
Biobio;Alto_Biobio;8314;1;03-03-2020;831443893;0;0;0;0;0;0;0;0;OFF;0
Atacama;Alto_del_Carmen;3302;1;03-03-2020;330243893;0;0;0;0;0;0;0;0;OFF;0
Tarapaca;Alto_Hospicio;1107;1;03-03-2020;110743893;0;0;0;0;0;0;0;0;OFF;46
Los_Lagos;Ancud;10202;1;03-03-2020;1020243893;0;0;0;0;0;0;0;0;OFF;25
Coquimbo;Andacollo;4103;1;03-03-2020;410343893;0;0;0;0;0;0;0;0;OFF;7
La_Araucania;Angol;9201;1;03-03-2020;920143893;0;0;0;0;0;0;0;0;OFF;53
Antofagasta;Antofagasta;2101;1;03-03-2020;210143893;0;0;0;0;0;0;0;0;OFF;52
Biobio;Antuco;8302;1;03-03-2020;830243893;0;0;0;0;0;0;0;0;OFF;3
Biobio;Arauco;8202;1;03-03-2020;820243893;0;0;0;0;0;0;0;0;OFF;46
Arica_y_Parinacota;Arica;15101;1;03-03-2020;1510143893;0;0;0;0;0;0;0;0;OFF;54
Aysen;Aisen;11201;1;03-03-2020;1120143893;0;0;0;0;0;0;0;0;OFF;57
Metropolitana;Buin;13402;1;03-03-2020;1340243893;0;0;0;0;0;0;0;0;OFF;45
Nuble;Bulnes;16102;1;03-03-2020;1610243893;0;0;0;0;0;0;0;0;OFF;51
Valparaiso;Cabildo;5402;1;03-03-2020;540243893;0;0;0;0;0;0;0;0;OFF;15
Magallanes;Cabo_de_Hornos;12201;1;03-03-2020;1220143893;0;0;0;0;0;0;0;0;OFF;51
