Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;Muertes;Casos_Activos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Valparaiso;Algarrobo;5602;10;43902;560243902;0;0;0;0;0;0;0;0;OFF;43
Metropolitana;Alhue;13502;10;43902;1350243902;0;0;0;0;0;0;0;0;OFF;0
Biobio;Alto_Biobio;8314;10;43902;831443902;0;0;0;0;0;0;0;0;OFF;0
Atacama;Alto_del_Carmen;3302;10;43902;330243902;0;0;0;0;0;0;0;0;OFF;0
Tarapaca;Alto_Hospicio;1107;10;43902;110743902;0;0;0;0;0;0;0;0;OFF;46
Los_Lagos;Ancud;10202;10;43902;1020243902;0;0;0;0;0;0;0;0;OFF;25
Coquimbo;Andacollo;4103;10;43902;410343902;0;0;0;0;0;0;0;0;OFF;7
La_Araucania;Angol;9201;10;43902;920143902;0;0;0;0;0;0;0;0;OFF;53
Antofagasta;Antofagasta;2101;10;43902;210143902;0;0;0;0;0;0;0;0;OFF;52
Biobio;Antuco;8302;10;43902;830243902;0;0;0;0;0;0;0;0;OFF;3
Biobio;Arauco;8202;10;43902;820243902;0;0;0;0;0;0;0;0;OFF;46
Arica_y_Parinacota;Arica;15101;10;43902;1510143902;0;0;0;0;0;0;0;0;OFF;54
Aysen;Aisen;11201;10;43902;1120143902;0;0;0;0;0;0;0;0;OFF;57
Metropolitana;Buin;13402;10;43902;1340243902;0;0;0;0;0;0;0;0;OFF;45
Nuble;Bulnes;16102;10;43902;1610243902;0;0;0;0;0;0;0;0;OFF;51
Valparaiso;Cabildo;5402;10;43902;540243902;0;0;0;0;0;0;0;0;OFF;15
Magallanes;Cabo_de_Hornos;12201;10;43902;1220143902;0;0;0;0;0;0;0;0;OFF;51
Biobio;Cabrero;8303;10;43902;830343902;0;0;0;0;0;0;0;0;OFF;45
Antofagasta;Calama;2201;10;43902;220143902;0;0;0;0;0;0;0;0;OFF;57
Los_Lagos;Calbuco;10102;10;43902;1010243902;0;0;0;0;0;0;0;0;OFF;48
Atacama;Caldera;3102;10;43902;310243902;0;0;0;0;0;0;0;0;OFF;7
Valparaiso;Calera;5502;10;43902;550243902;0;0;0;0;0;0;0;0;OFF;45
Metropolitana;Calera_de_Tango;13403;10;43902;1340343902;0;0;0;0;0;0;0;0;OFF;47
Valparaiso;Calle_Larga;5302;10;43902;530243902;0;0;0;0;0;0;0;0;OFF;39
Arica_y_Parinacota;Camarones;15102;10;43902;1510243902;0;0;0;0;0;0;0;0;OFF;0
Tarapaca;CamiNa;1402;10;43902;140243902;0;0;0;0;0;0;0;0;OFF;0
Coquimbo;Canela;4202;10;43902;420243902;0;0;0;0;0;0;0;0;OFF;5
Biobio;CaNete;8203;10;43902;820343902;0;0;0;0;0;0;0;0;OFF;2
La_Araucania;Carahue;9102;10;43902;910243902;0;0;0;0;0;0;0;0;OFF;48
Valparaiso;Cartagena;5603;10;43902;560343902;0;0;0;0;0;0;0;0;OFF;36
Valparaiso;Casablanca;5102;10;43902;510243902;0;0;0;0;0;0;0;0;OFF;47
Los_Lagos;Castro;10201;10;43902;1020143902;0;0;0;0;0;0;0;0;OFF;45
Valparaiso;Catemu;5702;10;43902;570243902;0;0;0;0;0;0;0;0;OFF;7
Maule;Cauquenes;7201;10;43902;720143902;0;0;0;0;0;0;0;0;OFF;43
Metropolitana;Cerrillos;13102;10;43902;1310243902;0;0;0;0;0;0;0;0;OFF;46
Metropolitana;Cerro_Navia;13103;10;43902;1310343902;0;0;0;0;0;0;0;0;OFF;52
Los_Lagos;Chaiten;10401;10;43902;1040143902;0;0;0;0;0;0;0;0;OFF;39
Atacama;ChaNaral;3201;10;43902;320143902;0;0;0;0;0;0;0;0;OFF;0
Maule;Chanco;7202;10;43902;720243902;0;0;0;0;0;0;0;0;OFF;22
O_Higgins;Chepica;6302;10;43902;630243902;0;0;0;0;0;0;0;0;OFF;0
Biobio;Chiguayante;8103;10;43902;810343902;0;0;0;0;0;0;0;0;OFF;50
Aysen;Chile_Chico;11401;10;43902;1140143902;0;0;0;0;0;0;0;0;OFF;39
Nuble;Chillan;16101;10;43902;1610143902;1;1;0;1;0;0;1;0;START;59
Nuble;Chillan_Viejo;16103;10;43902;1610343902;0;0;0;0;0;0;0;0;OFF;55
O_Higgins;Chimbarongo;6303;10;43902;630343902;0;0;0;0;0;0;0;0;OFF;46
La_Araucania;Cholchol;9121;10;43902;912143902;0;0;0;0;0;0;0;0;OFF;31
Los_Lagos;Chonchi;10203;10;43902;1020343902;0;0;0;0;0;0;0;0;OFF;0
Aysen;Cisnes;11202;10;43902;1120243902;0;0;0;0;0;0;0;0;OFF;0
Nuble;Cobquecura;16202;10;43902;1620243902;0;0;0;0;0;0;0;0;OFF;0
Los_Lagos;Cochamo;10103;10;43902;1010343902;0;0;0;0;0;0;0;0;OFF;29
Aysen;Cochrane;11301;10;43902;1130143902;0;0;0;0;0;0;0;0;OFF;0
O_Higgins;Codegua;6102;10;43902;610243902;0;0;0;0;0;0;0;0;OFF;21
Nuble;Coelemu;16203;10;43902;1620343902;0;0;0;0;0;0;0;0;OFF;38
Nuble;Coihueco;16302;10;43902;1630243902;0;0;0;0;0;0;0;0;OFF;37
O_Higgins;Coinco;6103;10;43902;610343902;0;0;0;0;0;0;0;0;OFF;17
